job_number,job_scope,job_status_at_dwr_create,date,dwrNumber,jobNumber,dwrBillingType,additionalFields,labour.name,labour.unit,labour.quantity,timeCard.description,iStatus
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-05,240405-016,24002,DWR.TM,[],Data Processing,HR,1.25,"Refine registration, Export and Upload data.",Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-05,240405-024,24002,DWR.TM,[],Data Processing,HR,0.5,AT - Ortho conversion to ECW.,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-05,240407-002,24002,DWR.TM,[],Data Processing,HR,3.5,LiDAR data processing,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-03,240408-008,24002,DWR.TM,[],Data Processing,HR,1.0,PROCESSING XS FIELD DATA FROM 03/02,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-04,240408-013,24002,DWR.TM,[],Data Processing,HR,1.0,PROCESSING XS FIELD DATA FROM 03/03,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-01,240410-010,24002,DWR.TM,[],Data Processing,HR,1.75,Static data processing of the job as per KL --- MA,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-10,240415-007,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,6.0,EXTRACTING PAINTLINES/BARRIERS FROM LIDAR/SCAN DATA.  DRAFTING ON SURVBASE.,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-11,240415-009,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,1.0,"DRAFTING ON SURVBASE, CREATING ALL MOTI PACKAGE ELEMENTS.",Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-12,240415-010,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,5.0,"DRAFTING ON SURVBASE, CREATING ALL MOTI PACKAGE ELEMENTS.",Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-08,240415-015,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,3.0,LiDAR data processing,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-16,240416-002,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Project Manager,HR,2.0,Review plan before delivery and DWRs,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-15,240422-007,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,2.0,"FINAL MARKUPS AND DWG PACKAGE CREATION, PDF CREATION, QA CHECKLIST",Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-16,240422-008,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,2.0,"ADDING MISSED LIGHT STANDARD ON BRIDGE, UPDATING ALL MOTI PACKAGE DWGS, CREATING NEW DWG PACKAGE, PDFS",Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-15,240422-018,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Manager,HR,1.0,review and discuss with CS,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-16,240424-005,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,0.75,"lidar QC notice missing lamp standard, reach out to KL and CS to add",Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-10,240424-021,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,1.5,geo referencing the RealWorks project of drygultch as per CS request with the scan data--- MA,Ready to Schedule
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-11,240424-023,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,1.0,"RCP data added to the cad file as per CS request, 
QC of RCP data -----MA",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-29,240129-058,24005,DWR.TM,[],Administrator,HR,1.0,Project setup,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-25,240131-004,24005,DWR.TM,[],Project Manager,HR,3.0,"Site visit, schedule utility locates, email follow up, meeting with TK, review 2pg plans from Surespan. Overall project review.",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-29,240131-052,24005,DWR.TM,[],CAD Manager,HR,0.25,correspondence,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-30,240131-055,24005,DWR.TM,[],CAD Manager,HR,0.5,"review files, correspondence with CS",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240201-002,24005,DWR.TM,[],CAD Manager,HR,0.5,meeting,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240201-016,24005,DWR.TM,[],Senior Survey Technologist,HR,9.0,Pickup and topo,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-02,240202-010,24005,DWR.TM,[],Senior Survey Technologist,HR,8.0,Layout and topo,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-30,240205-008,24005,DWR.TM,[],CAD Drafting,HR,6.0,"FIELD DATA PREP, CHECKING OVER DWG PACKAGE, CONTROL",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-30,240205-009,24005,DWR.TM,[],Professional Land Surveyor,HR,2.0,review project and legal ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-30,240205-009,24005,DWR.TM,[],Project Manager,HR,1.0,Meeting with Stantec and Surespan and Adam M,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-31,240205-010,24005,DWR.TM,[],CAD Drafting,HR,1.5,"FIELD DATA PREP, LOOKING INTO NAD27 CONTROL ISSUES",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240205-012,24005,DWR.TM,[],CAD Drafting,HR,2.0,"KICKOFF MEETING WITH TK/AM/SF, FIELD DATA PREP FOR GV, FOOTINGS",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-02,240205-017,24005,DWR.TM,[],Data Processing,HR,1.5,"PROCESSING GV FIELD DATA FROM 01/02/2024, SETTING UP TBC PROJECT.",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240205-018,24005,DWR.TM,[],Project Manager,HR,1.0,prep for internal meetying,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240205-018,24005,DWR.TM,[],Project Manager,HR,0.25,internal meeting,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240205-023,24005,DWR.TM,[],Project Manager,HR,1.0,review/investigate datum shift pertaining to CRD engineering drawings ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-02,240205-027,24005,DWR.TM,[],Project Manager,HR,0.5,consult with Guy - review his findings,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-02,240205-027,24005,DWR.TM,[],Project Manager,HR,0.25,Meet with SY and MA regarding datum,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240206-006,24005,DWR.TM,[],CAD Drafting,HR,2.5,revise sketch drawings,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240206-011,24005,DWR.TM,[],Project Manager,HR,1.0,PM - emails - review work,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240206-011,24005,DWR.TM,[],Professional Land Surveyor,HR,2.0,draft / georef legal boundaries ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240206-011,24005,DWR.TM,[],Project Manager,HR,1.0,review and finalize ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240206-014,24005,DWR.TM,[],Project Manager,HR,0.5,internal meeting,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-09,240209-006,24005,DWR.TM,[],Senior Survey Technologist,HR,7.0,Additional ties and close trav.,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-09,240209-017,24005,DWR.TM,[],Project Manager,HR,1.0,"Set up for field, communication with field crew",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-09,240209-017,24005,DWR.TM,[],Project Manager,HR,1.0,"Plan check, communications regarding deliverables",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-05,240212-031,24005,DWR.TM,[],Data Processing,HR,1.0,PROCESSING GV FIELD DATA,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-05,240212-031,24005,DWR.TM,[],CAD Drafting,HR,4.5,DRAFTING LAYOUT SKETCHES,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240212-035,24005,DWR.TM,[],CAD Drafting,HR,0.5,MARKUPS FROM AM ON LAYOUT SKETCHES,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-09,240212-049,24005,DWR.TM,[],Data Processing,HR,1.0,PROCESSING GV FIELD DATA FROM 02/09,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-09,240212-049,24005,DWR.TM,[],CAD Drafting,HR,1.0,UPDATING SKETCH PLAN WITH GV SURVEY 02/09,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-05,240213-011,24005,DWR.TM,[],CAD Drafting,HR,2.0,revisions to plans,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-29,240214-039,24005,DWR.TM,[],Project Manager,HR,2.0,Crew and data management; client coordination; job set up; Scan plus coordination,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-01-30,240214-040,24005,DWR.TM,[],Project Manager,HR,1.5,Client meeting with Stantec; Scan plus coordination; data and crew management,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-01,240214-044,24005,DWR.TM,[],Project Manager,HR,0.5,Kickoff meeting,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-05,240214-049,24005,DWR.TM,[],Project Manager,HR,2.0,Coordinate with TK; review data with TK/TBC; advise TK on paths forward; client coordination; Scan Plus: Crew and data management,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-06,240214-051,24005,DWR.TM,[],Project Manager,HR,0.5,Job coordination/advice with TK,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-14,240214-072,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Manager,HR,0.25,correspondence with CS and client,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-16,240221-014,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,"Discussions with client regarding new layout, discussions with Guy about work next week",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-20,240221-022,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,review newly submitted drawings - organize layout calc with Chris ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-21,240221-030,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Senior Survey Technologist,HR,4.0,Layout test holes,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-22,240222-008,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Senior Survey Technologist,HR,4.5,Layout test holes,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-21,240223-011,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,1.0,"CREATING CSV FOR BOREHOLE LAYOUT, CONFIRMING LOCATIONS MATCH CALC DWG",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-22,240223-012,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,1.5,"PROCESSING GV FIELD DATA, CHECKING LAYOUT, CREATING CSV OF NEW BOREHOLES SENT FROM CLIENT",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-23,240223-015,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,1.0,PROCESSING GV FIELD DATA 02/22,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-23,240223-015,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,0.5,ADDING BOREHOLES FROM GV LAYOUT TO LAYOUT SKETCH,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-13,240226-014,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,Client communication; Coordinate with TK; Contact Scan Plus,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-14,240226-016,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,1.0,Coordinating with Client and Scan plus and TK,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-02-21,240304-003,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,coordinate and communications,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-15,240415-032,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Senior Survey Technologist,HR,8.5,Topo fill in areas south sides,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-15,240415-034,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,0.75,processing of GV data ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-15,240418-016,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,1.5,coordinate with Guy - set up FW,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-11,240418-017,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,2.0,New proposal - review plans and requirements - correspondence with client,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-17,240418-024,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,2.0,build up legal and plan check ,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-16,240418-029,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,6.0,"Draft topo plan, create surface",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-17,240418-030,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,2.0,"drafting revisons, creare submission package",Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-04-10,240507-006,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Administrator,HR,0.5,Discuss pricing for new topo with TK; review email and topo scope,Scheduled
24005,"[""Site Layout"",""Construction""]",Scheduled,2024-05-16,240521-017,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,1.5,DRAFTING ON CONTROL SKETCH FOR PROJECT.,Scheduled
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-23,241023-020,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Survey Technologist,HR,2.0,Tie buried Manhole at surface based on pinfinder buzz ,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-24,241024-019,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,1.25,Training - Going through TBC processing with Aaron B,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-25,241025-003,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,0.5,Add mh to drawing.,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-24,241025-022,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,1.0,Process CB manhole ties.,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-22,241029-011,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,Review and send data to Chris and Samantha,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-29,241029-016,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,0.5,Send dwg file,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-25,241029-019,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,Check Plan,On Hold
24005,"[""Site Layout"",""Construction""]",On Hold,2024-10-28,241029-020,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,0.5,Communication with client and send plan,On Hold
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-03-21,250323-004,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,1.0,"AM - Review budget history, invoices and work performed",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-03-24,250331-027,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Project Manager,HR,1.5,"AM - Review budget history, invoices and work performed; communication email to DB/AS",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-03-31,250331-040,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Survey Technologist,HR,10.0,"Find/set control, layout twin 750 Sanitary capped start and end with offsets, set TBM T7483, layout South Pier and Abutment centerlines with offsets (WP3 & WP4)

Notes: All control at intersection of Island Highway and Galloping Goose Trail destroyed. Some interference from Tree Service truck/chipper working in same area.",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-03-30,250331-041,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Survey Technologist,HR,1.0,Print and review IFC drawings.,Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-01,250401-040,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Survey Technologist,HR,8.0,"Set control points T7486, T7488 & T7490. Set TBMs T7487 & T7489. Layout North Abutment and Pier workpoints and offsets.",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-03,250403-012,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Manager,HR,0.25,Discuss sketch task with CS,Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-03,250403-016,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Manager,HR,0.5,Review sketch 3. Make revisions and correspond with CS,Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-03,250404-020,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Data Processing,HR,1.0,"CS.  PROCESSING CB FIELD DATA FROM 03/31 & 04/01.  						
",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-03,250404-020,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,1.0,CS.  DRAFTING ON LAYOUT SKETCH.		,Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-17,250417-017,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Survey Technologist,HR,8.0,"CB - Forms and Pour Line Checks - North Pier & Abutment; Layout Existing Sanitary Line for HydroVac; Stake property line on north side of old railway ROW, east of Island Highway; Topo for slope determination; Layout south Pier footing (paint marks)

CB - ***Note: Elevation of top of concrete for North Pier footing was lowered by 93mm, from 50.60m to 50.507m as per Devon Kroeker, Site Super.",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-16,250421-031,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,0.5,"CS.  FIELD LAYOUT PREP FOR CB.								
",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-17,250421-037,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",CAD Drafting,HR,0.5,"CS.  FIELD LAYOUT PREP, LEGAL DXF FOR CB.								
",Ready to Schedule
24005,"[""Site Layout"",""Construction""]",Ready to Schedule,2025-04-08,250422-004,24005,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Utility, Property line, Construction layout""}]",Administrator,HR,0.5,CSV of benchmarks and points ion sketch -- MA ,Ready to Schedule
